time	H2	O2	H2O	OH	H	HO2	O	N2
219	0.266324	0.361556	0.00059451	0.0181082	0.446242	0.000734249	0.236583	0.01
220	0.265571	0.36101	0.000600963	0.0182324	0.447601	0.000739444	0.237532	0.01
221	0.264821	0.360465	0.000607445	0.0183567	0.448955	0.000744646	0.23848	0.01
222	0.264074	0.359921	0.000613955	0.0184811	0.450304	0.000749854	0.239427	0.01
223	0.263328	0.359377	0.000620493	0.0186056	0.451649	0.000755067	0.240373	0.01
224	0.262585	0.358833	0.000627059	0.0187302	0.452988	0.000760287	0.241317	0.01
225	0.261845	0.35829	0.000633652	0.0188549	0.454323	0.000765513	0.242261	0.01
226	0.261106	0.357748	0.000640273	0.0189798	0.455653	0.000770744	0.243203	0.01
227	0.260371	0.357206	0.000646921	0.0191047	0.456978	0.000775981	0.244144	0.01
228	0.259637	0.356664	0.000653597	0.0192297	0.458298	0.000781224	0.245084	0.01
229	0.258906	0.356123	0.000660299	0.0193548	0.459614	0.000786472	0.246023	0.01
230	0.258176	0.355583	0.000667028	0.0194799	0.460925	0.000791725	0.24696	0.01
231	0.25745	0.355043	0.000673783	0.0196052	0.462231	0.000796983	0.247897	0.01
232	0.256725	0.354504	0.000680565	0.0197306	0.463532	0.000802247	0.248832	0.01
233	0.256003	0.353965	0.000687372	0.019856	0.464828	0.000807515	0.249766	0.01
234	0.255283	0.353427	0.000694206	0.0199815	0.46612	0.000812789	0.250699	0.01
235	0.254566	0.352889	0.000701065	0.0201071	0.467408	0.000818067	0.25163	0.01
236	0.25385	0.352352	0.00070795	0.0202328	0.46869	0.00082335	0.252561	0.01
237	0.253137	0.351815	0.00071486	0.0203585	0.469968	0.000828638	0.25349	0.01
238	0.252427	0.351279	0.000721795	0.0204844	0.471241	0.00083393	0.254418	0.01
239	0.251718	0.350743	0.000728755	0.0206102	0.47251	0.000839227	0.255345	0.01
240	0.251012	0.350208	0.000735739	0.0207362	0.473774	0.000844528	0.256271	0.01
241	0.250308	0.349673	0.000742748	0.0208622	0.475033	0.000849833	0.257196	0.01
242	0.249606	0.349139	0.000749782	0.0209883	0.476288	0.000855143	0.258119	0.01
243	0.248906	0.348606	0.000756839	0.0211145	0.477539	0.000860456	0.259042	0.01
244	0.248209	0.348073	0.00076392	0.0212407	0.478784	0.000865774	0.259963	0.01
245	0.247514	0.347541	0.000771025	0.0213669	0.480026	0.000871095	0.260883	0.01
246	0.246821	0.347009	0.000778153	0.0214932	0.481262	0.00087642	0.261801	0.01
247	0.24613	0.346477	0.000785305	0.0216196	0.482494	0.000881749	0.262719	0.01
248	0.245442	0.345947	0.000792479	0.021746	0.483722	0.000887081	0.263636	0.01
249	0.244755	0.345416	0.000799677	0.0218725	0.484945	0.000892417	0.264551	0.01
250	0.244071	0.344887	0.000806896	0.021999	0.486164	0.000897756	0.265465	0.01
251	0.243389	0.344357	0.000814139	0.0221256	0.487378	0.000903098	0.266378	0.01
252	0.24271	0.343829	0.000821403	0.0222522	0.488588	0.000908444	0.26729	0.01
253	0.242032	0.343301	0.00082869	0.0223789	0.489793	0.000913793	0.2682	0.01
254	0.241357	0.342773	0.000835999	0.0225055	0.490994	0.000919145	0.26911	0.01
255	0.240683	0.342246	0.000843329	0.0226323	0.492191	0.0009245	0.270018	0.01
256	0.240012	0.34172	0.00085068	0.022759	0.493383	0.000929857	0.270925	0.01
257	0.239343	0.341194	0.000858053	0.0228858	0.494571	0.000935218	0.271831	0.01
258	0.238677	0.340669	0.000865446	0.0230127	0.495754	0.000940581	0.272736	0.01
