time	H2	O2	H2O	OH	H	HO2	O	N2
30500	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
30600	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
30700	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
30800	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
30900	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
31000	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
31100	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
31200	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
31300	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
31400	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
31500	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
31600	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
31700	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
31800	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
31900	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
32000	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
32100	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
32200	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
32300	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
32400	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
32500	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
32600	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
32700	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
32800	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
32900	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
33000	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
33100	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
33200	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
33300	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
33400	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
33500	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
33600	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
33700	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
